taskType,taskId,init,gpsTagId,notificationType,notificationTs,reminderCount,notficationAcceptTs,acceptanceTime,taskAcceptTs,taskAcceptTime,taskComp,taskCompTs,taskCompTime,responseTime,receptRating 
photo,1,user,0,null,0,0,0,0,1281436193787,1281436193,0,0,-1281436193,0,0
photo,1,user,0,null,0,0,0,0,1281436260795,1281436260,0,0,-1281436260,0,0
annotate,2,user,0,null,0,0,0,0,1281436301009,1281436301,0,0,-1281436301,0,0
annotate,2,user,0,null,0,0,0,0,1281436347153,1281436347,0,1281436469149,121,1281436469,0
newImages,4,sys,0,null,1281436473630,0,1281436498604,24,0,-1281436498,0,0,0,-1281436473,0
annotate,2,user,0,null,0,0,0,0,1281436540781,1281436540,0,1281436579742,38,1281436579,0
newImages,4,sys,0,null,1281436585427,0,1281436615604,30,0,-1281436615,0,0,0,-1281436585,0
newImages,4,sys,0,null,1281436637908,0,1281436662148,24,0,-1281436662,0,0,0,-1281436637,0
photo_story,3,user,0,null,0,0,0,0,1281436724025,1281436724,0,0,-1281436724,0,0
photo opportunity,1,sys,14,null,1281437327490,0,1281437405142,77,1281437407898,2,0,1281437427314,19,99,3
photo opportunity,1,sys,15,null,1281437474135,0,1281437675677,201,1281437680675,4,0,1281437693250,12,219,3
photo,1,user,0,null,0,0,0,0,1281437511764,1281437511,0,0,-1281437511,0,0
photo,1,user,0,null,0,0,0,0,1281437627178,1281437627,0,0,-1281437627,0,0
photo,1,user,0,null,0,0,0,0,1281437948239,1281437948,0,0,-1281437948,0,0
newImages,4,sys,0,null,1281439082152,0,0,-1281439082,0,0,0,0,0,-1281439082,0
annotate,2,user,0,null,0,0,0,0,1281439101310,1281439101,0,0,-1281439101,0,0
annotate,2,user,0,null,0,0,0,0,1281439233027,1281439233,0,1281439374387,141,1281439374,0
newImages,4,sys,0,null,1281439267163,0,0,-1281439267,0,0,0,0,0,-1281439267,0
newImages,4,sys,0,null,1281439321311,0,1281439392756,71,0,-1281439392,0,0,0,-1281439321,0
annotate,2,user,0,null,0,0,0,0,1281439433660,1281439433,0,1281439731154,297,1281439731,0
photo,1,user,0,null,0,0,0,0,1281439491100,1281439491,0,0,-1281439491,0,0
